,Route,To,From,Distance
0,7,448,447,0.016370232405183364
1,7,449,448,0.010130564890468428
2,7,450,449,0.00759843279894458
3,7,451,450,0.006864861906842609
4,7,452,451,0.007124223817371651
5,7,453,452,0.007123486295339059
6,7,616,453,0.007739607871197649
7,7,455,616,0.0050362297406050804
8,7,456,455,0.0066175966936616645
9,7,457,456,0.009678976495471931
10,7,458,457,0.005973213959003963
11,7,459,458,0.00561860854661249
12,7,460,459,0.007027374829888789
13,7,461,460,0.010985083067512117
14,7,606,461,0.006187917662669033
15,7,463,606,0.0060369158516591515
16,7,464,463,0.0046829824898271845
17,7,610,464,0.02412425387447957
18,7,609,610,0.006386093015295406
19,7,611,609,0.005962576624235758
20,7,471,611,0.014224766641316755
21,1,294,293,0.005120149411875599
22,1,295,294,0.007034274447303454
23,1,296,295,0.006589160341057433
24,1,297,296,0.007474248657881476
25,1,298,297,0.005984494799059538
26,1,299,298,0.007861672595574961
27,1,300,299,0.0065709217009555605
28,1,301,300,0.007086907364987927
29,1,605,301,0.01108228180475254
30,1,303,605,0.008066862711123748
31,1,304,303,0.009274750670502381
32,1,305,304,0.005624473753158683
33,1,306,305,0.007959820663808114
34,1,307,306,0.009730802895957876
35,1,308,307,0.004646632544116586
36,1,309,308,0.004773517047205757
37,1,310,309,0.006789909056831386
38,1,311,310,0.006557183084225131
39,1,312,311,0.0059888814481455005
40,1,313,312,0.005852877070288895
41,1,314,313,0.0050186940532429775
42,1,614,314,0.00520054314471592
43,1,316,614,0.0067958635212760875
44,1,611,316,0.007398726917521758
45,1,318,611,0.006071633470498349
46,1,319,318,0.003911499456723252
47,1,320,319,0.0038826820626989915
48,1,321,320,0.0037615790567199596
49,1,601,321,0.0039697224084454105
50,1,323,601,0.0051683886270326735
51,1,324,323,0.005726758419905135
52,1,325,324,0.005473180885006924
53,1,326,325,0.003588060339511375
54,1,327,326,0.004517742799229027
55,1,328,327,0.004670067772529304
56,1,329,328,0.004606919686732098
57,1,635,329,0.005446300212071919
58,C,149,605,0.004717626203928222
59,C,150,149,0.0057293899326218865
60,C,151,150,0.006339639500786351
61,C,152,151,0.007697000064961802
62,C,153,152,0.008250446109151651
63,C,154,153,0.006537208655078767
64,C,155,154,0.005553392206571047
65,C,156,155,0.0055850666961105265
66,C,157,156,0.005505730105985859
67,C,158,157,0.007151746360162419
68,C,159,158,0.005484774744688981
69,C,160,159,0.0072319575496547755
70,C,614,160,0.009034770611362795
71,C,162,614,0.007221572128008182
72,C,611,162,0.006369607915714966
73,C,164,611,0.006211020608566725
74,C,165,164,0.00789554690949531
75,C,618,165,0.006200433049388635
76,C,167,618,0.008638058230876315
77,C,168,167,0.006918660058127796
78,C,169,168,0.0056046863426979015
79,C,624,169,0.007505138573007312
80,C,628,624,0.004014801614026846
81,C,173,628,0.020307762062817418
82,C,636,173,0.007691275706932162
83,C,175,636,0.0045092789889274
84,C,176,175,0.011306399338427494
85,C,177,176,0.008594309978110932
86,C,627,177,0.009185085138431168
87,C,179,627,0.006490720144931183
88,C,180,179,0.009581957680991095
89,C,181,180,0.01014430332747596
