,Complex ID,Stop Name,GTFS Latitude,GTFS Longitude
0,1,Astoria-Ditmars Blvd,40.775036,-73.91203399999999
1,2,Astoria Blvd,40.770258,-73.917843
2,3,30 Av,40.766779,-73.921479
3,4,Broadway,40.76182,-73.925508
4,5,36 Av,40.756803999999995,-73.929575
5,6,39 Av-Dutch Kills,40.752882,-73.932755
6,613,Lexington Av/59 St,40.76266,-73.967258
7,8,5 Av/59 St,40.764811,-73.973347
8,9,57 St-7 Av,40.764664,-73.98065799999999
9,10,49 St,40.759901,-73.984139
10,611,Times Sq-42 St,40.754672,-73.986754
11,607,34 St-Herald Sq,40.749567,-73.98795
12,13,28 St,40.745494,-73.988691
13,14,23 St,40.741303,-73.98934399999999
14,602,14 St-Union Sq,40.735735999999996,-73.99056800000001
15,16,8 St-NYU,40.730328,-73.99262900000001
16,17,Prince St,40.724329,-73.997702
17,623,Canal St,40.719527,-74.001775
19,20,City Hall,40.713282,-74.006978
20,624,Cortlandt St,40.710668,-74.01102900000001
21,22,Rector St,40.70722,-74.01334200000001
22,635,Whitehall St-South Ferry,40.703087,-74.01299399999999
23,620,Court St,40.6941,-73.991777
24,636,Jay St-MetroTech,40.69218,-73.98594200000001
25,26,DeKalb Av,40.690635,-73.981824
26,617,Atlantic Av-Barclays Ctr,40.683665999999995,-73.97881
27,28,Union St,40.677316,-73.98311
28,608,4 Av-9 St,40.670846999999995,-73.988302
29,30,Prospect Av,40.665414,-73.99287199999999
30,31,25 St,40.660396999999996,-73.998091
31,32,36 St,40.655144,-74.00354899999999
32,33,45 St,40.648939,-74.010006
33,34,53 St,40.645069,-74.014034
34,35,59 St,40.641362,-74.017881
35,36,Bay Ridge Av,40.634966999999996,-74.023377
36,37,77 St,40.629742,-74.02551
37,38,86 St,40.622687,-74.028398
38,39,Bay Ridge-95 St,40.616622,-74.030876
40,41,7 Av,40.67705,-73.972367
41,42,Prospect Park,40.661614,-73.962246
42,43,Parkside Av,40.655291999999996,-73.961495
43,44,Church Av,40.650527000000004,-73.962982
44,45,Beverley Rd,40.644031,-73.964492
45,46,Cortelyou Rd,40.640927000000005,-73.963891
46,47,Newkirk Plaza,40.635082000000004,-73.962793
47,48,Avenue H,40.62927,-73.961639
48,49,Avenue J,40.625039,-73.960803
49,50,Avenue M,40.617618,-73.959399
50,51,Kings Hwy,40.608670000000004,-73.957734
51,52,Avenue U,40.5993,-73.955929
52,53,Neck Rd,40.595246,-73.955161
53,54,Sheepshead Bay,40.586896,-73.954155
54,55,Brighton Beach,40.577621,-73.961376
55,56,Ocean Pkwy,40.576312,-73.968501
56,57,W 8 St-NY Aquarium,40.576127,-73.975939
57,58,Coney Island-Stillwell Av,40.577422,-73.98123299999999
58,59,9 Av,40.646291999999995,-73.994324
59,60,Fort Hamilton Pkwy,40.640914,-73.994304
60,61,50 St,40.63626,-73.994791
61,62,55 St,40.631434999999996,-73.995476
62,615,62 St,40.626472,-73.996895
63,64,71 St,40.619589000000005,-73.998864
64,65,79 St,40.613501,-74.00061
65,66,18 Av,40.607954,-74.001736
66,67,20 Av,40.604556,-73.998168
67,68,Bay Pkwy,40.601875,-73.993728
68,69,25 Av,40.597704,-73.986829
69,70,Bay 50 St,40.588840999999995,-73.983765
70,71,8 Av,40.635064,-74.011719
71,72,Fort Hamilton Pkwy,40.631386,-74.005351
73,74,18 Av,40.620671,-73.990414
74,75,20 Av,40.61741,-73.985026
75,76,Bay Pkwy,40.611815,-73.981848
76,77,Kings Hwy,40.603922999999995,-73.98035300000001
77,78,Avenue U,40.597473,-73.979137
78,79,86 St,40.592721000000004,-73.97823000000001
79,80,121 St,40.700492,-73.828294
80,81,111 St,40.697418,-73.836345
81,82,104 St,40.695178000000006,-73.84433
82,83,Woodhaven Blvd,40.693878999999995,-73.851576
83,84,85 St-Forest Pkwy,40.692434999999996,-73.86001
84,85,75 St-Elderts Ln,40.691324,-73.867139
85,86,Cypress Hills,40.689941,-73.87255
86,87,Crescent St,40.683194,-73.873785
87,88,Norwood Av,40.68141,-73.880039
88,89,Cleveland St,40.679947,-73.884639
89,90,Van Siclen Av,40.678024,-73.891688
90,91,Alabama Av,40.676992,-73.89865400000001
91,621,Broadway Junction,40.679497999999995,-73.904512
92,93,Chauncey St,40.682893,-73.91045600000001
93,94,Halsey St,40.686370000000004,-73.91655899999999
94,95,Gates Av,40.68963,-73.92227
95,96,Kosciuszko St,40.693342,-73.928814
96,97,Myrtle Av,40.697207,-73.93565699999999
97,98,Flushing Av,40.70026,-73.941126
98,99,Lorimer St,40.703869,-73.947408
99,100,Hewes St,40.70687,-73.95343100000001
100,101,Marcy Av,40.708359,-73.957757
101,625,Delancey St-Essex St,40.718315000000004,-73.987437
102,103,Bowery,40.720279999999995,-73.993915
104,622,Chambers St,40.713243,-74.003401
105,628,Fulton St,40.710374,-74.007582
106,107,Broad St,40.706476,-74.01105600000001
107,108,Middle Village-Metropolitan Av,40.711396,-73.889601
108,109,Fresh Pond Rd,40.706185999999995,-73.895877
109,110,Forest Av,40.704423,-73.903077
110,111,Seneca Av,40.702762,-73.90774
111,630,Myrtle-Wyckoff Avs,40.69943,-73.912385
112,113,Knickerbocker Av,40.698664,-73.91971099999999
113,114,Central Av,40.697857,-73.927397
114,618,8 Av,40.739777000000004,-74.002578
115,601,6 Av,40.737334999999995,-73.996786
117,118,3 Av,40.732849,-73.986122
118,119,1 Av,40.730953,-73.981628
119,120,Bedford Av,40.717304,-73.956872
120,629,Lorimer St,40.714063,-73.950275
121,122,Graham Av,40.714565,-73.944053
122,123,Grand St,40.711926,-73.94067
123,124,Montrose Av,40.707739000000004,-73.93985
124,125,Morgan Av,40.706152,-73.93314699999999
125,126,Jefferson St,40.706607,-73.922913
126,127,DeKalb Av,40.703811,-73.918425
128,129,Halsey St,40.695602,-73.904084
129,130,Wilson Av,40.688764,-73.904046
130,131,Bushwick Av-Aberdeen St,40.682829,-73.905249
132,133,Atlantic Av,40.675345,-73.903097
133,134,Sutter Av,40.669367,-73.901975
134,135,Livonia Av,40.664038,-73.900571
135,136,New Lots Av,40.658733000000005,-73.899232
136,137,East 105 St,40.650573,-73.899485
137,138,Canarsie-Rockaway Pkwy,40.646654,-73.90185
138,627,Franklin Av,40.680596,-73.955827
139,141,Park Pl,40.674772,-73.957624
140,626,Botanic Garden,40.670343,-73.959245
141,143,Inwood-207 St,40.868072,-73.919899
142,144,Dyckman St,40.865491,-73.92727099999999
143,145,190 St,40.859021999999996,-73.93418
144,146,181 St,40.851695,-73.937969
145,147,175 St,40.847390999999995,-73.939704
146,605,168 St,40.840719,-73.939561
147,149,163 St-Amsterdam Av,40.836013,-73.939892
148,150,155 St,40.830518,-73.941514
149,151,145 St,40.824783000000004,-73.944216
151,152,135 St,40.817894,-73.947649
152,153,125 St,40.811109,-73.952343
153,154,116 St,40.805085,-73.954882
154,155,Cathedral Pkwy (110 St),40.800603,-73.958161
155,156,103 St,40.796092,-73.961454
156,157,96 St,40.791641999999996,-73.96469599999999
157,158,86 St,40.785868,-73.96891600000001
158,159,81 St-Museum of Natural History,40.781433,-73.972143
159,160,72 St,40.775594,-73.97641
160,614,59 St-Columbus Circle,40.768296,-73.981736
161,162,50 St,40.762456,-73.985984
163,164,34 St-Penn Station,40.752287,-73.993391
164,165,23 St,40.745906,-73.998041
166,167,W 4 St-Wash Sq,40.732338,-74.000495
168,168,Spring St,40.726227,-74.003739
169,169,Canal St,40.720824,-74.005229
173,173,High St,40.699337,-73.990531
175,175,Hoyt-Schermerhorn Sts,40.688484,-73.985001
176,176,Lafayette Av,40.686113,-73.973946
177,177,Clinton-Washington Avs,40.683263000000004,-73.965838
179,179,Nostrand Av,40.680438,-73.95042600000001
180,180,Kingston-Throop Avs,40.679921,-73.94085799999999
181,181,Utica Av,40.679364,-73.930729
182,182,Ralph Av,40.678822,-73.92078599999999
183,183,Rockaway Av,40.678340000000006,-73.911946
185,185,Liberty Av,40.674541999999995,-73.896548
186,186,Van Siclen Av,40.672709999999995,-73.89035799999999
